Protein IDs;Majority protein IDs;Peptide counts (all);Peptide counts (razor+unique);Peptide counts (unique);Protein names;Gene names;Fasta headers;Number of proteins;Peptides;Razor + unique peptides;Unique peptides;Peptides AA3672;Peptides AA3710;Peptides AA3715;Peptides AA3864;Peptides AAA00J;Peptides AAA00N;Peptides AAA010;Peptides AAA01R;Peptides AAA022;Peptides AGA002;Peptides AGA02N;Razor + unique peptides AA3672;Razor + unique peptides AA3710;Razor + unique peptides AA3715;Razor + unique peptides AA3864;Razor + unique peptides AAA00J;Razor + unique peptides AAA00N;Razor + unique peptides AAA010;Razor + unique peptides AAA01R;Razor + unique peptides AAA022;Razor + unique peptides AGA002;Razor + unique peptides AGA02N;Unique peptides AA3672;Unique peptides AA3710;Unique peptides AA3715;Unique peptides AA3864;Unique peptides AAA00J;Unique peptides AAA00N;Unique peptides AAA010;Unique peptides AAA01R;Unique peptides AAA022;Unique peptides AGA002;Unique peptides AGA02N;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Sequence length;Sequence lengths;Fraction average;Fraction 1;Q-value;Score;Sequence coverage AA3672 [%];Sequence coverage AA3710 [%];Sequence coverage AA3715 [%];Sequence coverage AA3864 [%];Sequence coverage AAA00J [%];Sequence coverage AAA00N [%];Sequence coverage AAA010 [%];Sequence coverage AAA01R [%];Sequence coverage AAA022 [%];Sequence coverage AGA002 [%];Sequence coverage AGA02N [%];Intensity;Intensity AA3672;Intensity AA3710;Intensity AA3715;Intensity AA3864;Intensity AAA00J;Intensity AAA00N;Intensity AAA010;Intensity AAA01R;Intensity AAA022;Intensity AGA002;Intensity AGA02N
P55157;P55157;15;15;15;Microsomal triglyceride transfer protein large subunit;MTTP;>sp|P55157|MTP_HUMAN Microsomal triglyceride transfer protein large subunit OS=Homo sapiens GN=MTTP PE=1 SV=1;1;15;15;15;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;15;0;0;23.4;23.4;23.4;99.35;894;894;1;15;0;46485;0;0;0;0;0;0;0;0;23.4;0;0;5806800;0;0;0;0;0;0;0;0;5806800;0;0
P55160;P55160;3;3;3;Nck-associated protein 1-like;NCKAP1L;>sp|P55160|NCKPL_HUMAN Nck-associated protein 1-like OS=Homo sapiens GN=NCKAP1L PE=1 SV=3;1;3;3;3;1;1;0;0;0;0;2;2;0;1;0;1;1;0;0;0;0;2;2;0;1;0;1;1;0;0;0;0;2;2;0;1;0;4;4;4;128.15;1127;1127;1;7;0;15304;0.8;0.8;0;0;0;0;2.9;1.9;0;0.8;0;5441000;350300;1094400;0;0;0;0;1547500;2113900;0;334960;0
P55196;P55196;21;21;21;Afadin;MLLT4;>sp|P55196|AFAD_HUMAN Afadin OS=Homo sapiens GN=MLLT4 PE=1 SV=3;1;21;21;21;9;3;0;10;0;3;4;4;5;7;5;9;3;0;10;0;3;4;4;5;7;5;9;3;0;10;0;3;4;4;5;7;5;17.2;17.2;17.2;206.8;1824;1824;1;54;0;74857;7.7;2;0;8.7;0;2.2;3.3;2.5;4;5.5;3.5;36165000;7025200;1191600;0;11581000;0;697830;1701800;967560;1097900;7629400;4273300
P55209;P55209;9;7;7;Nucleosome assembly protein 1-like 1;NAP1L1;>sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1;1;9;7;7;7;7;6;8;7;6;6;8;5;6;4;6;6;5;7;6;4;5;7;5;5;4;6;6;5;7;6;4;5;7;5;5;4;17.6;15.1;15.1;45374;391;391;1;115;0;33.16;17.6;17.6;17.4;17.6;17.6;17.6;17.4;17.6;14.8;17.4;12;201050000;27055000;25044000;2409800;44772000;3782400;5804300;4216100;35306000;6391800;29051000;17213000
P55210;P55210;8;8;8;"Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11";CASP7;>sp|P55210|CASP7_HUMAN Caspase-7 OS=Homo sapiens GN=CASP7 PE=1 SV=1;1;8;8;8;1;4;1;1;1;3;1;4;4;1;1;1;4;1;1;1;3;1;4;4;1;1;1;4;1;1;1;3;1;4;4;1;1;29;29;29;34276;303;303;1;23;0;25813;2.6;10.6;2.6;2.6;2.6;15.5;3.3;12.9;18.8;2.6;3.3;11843000;406610;2272400;224080;1285300;389060;684980;177880;4230600;1614900;270090;287000
"P55212;P0CB46";P55212;"7;1";"7;1";"6;0";"Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11";CASP6;>sp|P55212|CASP6_HUMAN Caspase-6 OS=Homo sapiens GN=CASP6 PE=1 SV=2;2;7;7;6;4;2;2;4;4;1;4;3;3;1;2;4;2;2;4;4;1;4;3;3;1;2;3;1;1;3;3;1;3;2;2;0;2;28;28;25.3;33.31;293;"293;183";1;40;0;60539;16.4;6.1;6.5;15.4;16.4;2.7;16.7;9.9;9.2;2.7;10.6;46072000;3789100;1540500;721930;16598000;3041000;312380;6696600;6964300;2268100;662700;3477300
P55259;P55259;4;4;4;Pancreatic secretory granule membrane major glycoprotein GP2;GP2;>sp|P55259|GP2_HUMAN Pancreatic secretory granule membrane major glycoprotein GP2 OS=Homo sapiens GN=GP2 PE=2 SV=3;1;4;4;4;1;0;0;0;4;0;0;0;0;1;0;1;0;0;0;4;0;0;0;0;1;0;1;0;0;0;4;0;0;0;0;1;0;9.5;9.5;9.5;59.48;537;537;1;6;0;31.9;2.8;0;0;0;9.5;0;0;0;0;2.8;0;5271400;825250;0;0;0;1200600;0;0;0;0;3245600;0
P55263;P55263;7;7;7;Adenosine kinase;ADK;>sp|P55263|ADK_HUMAN Adenosine kinase OS=Homo sapiens GN=ADK PE=1 SV=2;1;7;7;7;2;4;1;2;3;1;3;5;4;3;1;2;4;1;2;3;1;3;5;4;3;1;2;4;1;2;3;1;3;5;4;3;1;27.9;27.9;27.9;40545;362;362;1;31;0;28484;5.8;18.2;2.2;6.9;9.1;3.6;9.9;20.4;13.5;10.2;3.6;20925000;1833700;2990800;331650;3799600;800720;0;1483900;6477000;627650;2368100;212400
P55265;P55265;27;27;27;Double-stranded RNA-specific adenosine deaminase;ADAR;>sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4;1;27;27;27;13;18;5;8;12;4;5;21;15;7;7;13;18;5;8;12;4;5;21;15;7;7;13;18;5;8;12;4;5;21;15;7;7;25.7;25.7;25.7;136.06;1226;1226;1;144;0;252.71;13.5;18.9;5.5;9.3;12.3;5.1;6.6;20.5;16.9;8.2;7.3;147480000;19033000;15093000;734920;17323000;5906400;6815600;2554300;41652000;9054100;18600000;10709000
P55268;P55268;24;24;24;Laminin subunit beta-2;LAMB2;>sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens GN=LAMB2 PE=1 SV=2;1;24;24;24;5;13;2;0;8;7;15;3;1;3;0;5;13;2;0;8;7;15;3;1;3;0;5;13;2;0;8;7;15;3;1;3;0;19.1;19.1;19.1;195.98;1798;1798;1;66;0;110.82;3.6;10.1;2.1;0;5.9;6.9;12.8;2;1.3;2.6;0;35368000;1652900;8408600;33148;0;1641700;3741900;13324000;2510800;503080;3551800;0
P55287;P55287;2;2;2;Cadherin-11;CDH11;>sp|P55287|CAD11_HUMAN Cadherin-11 OS=Homo sapiens GN=CDH11 PE=2 SV=2;1;2;2;2;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;2.5;2.5;2.5;87964;796;796;1;3;0.00020674;3.7008;0;0;1.5;0;1.5;0;0;0;0;1;0;428520;0;0;130050;0;0;0;0;0;0;298470;0
P55290;P55290;2;2;2;Cadherin-13;CDH13;>sp|P55290|CAD13_HUMAN Cadherin-13 OS=Homo sapiens GN=CDH13 PE=1 SV=1;1;2;2;2;1;0;0;0;0;2;0;1;1;1;0;1;0;0;0;0;2;0;1;1;1;0;1;0;0;0;0;2;0;1;1;1;0;3.6;3.6;3.6;78286;713;713;1;7;0;7.2379;1.7;0;0;0;0;3.6;0;2;2;1.7;0;3542000;207460;0;0;0;0;2194900;0;444180;182470;512960;0
P55327;P55327;12;12;12;Tumor protein D52;TPD52;>sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens GN=TPD52 PE=1 SV=2;1;12;12;12;8;12;4;11;9;7;8;9;7;7;12;8;12;4;11;9;7;8;9;7;7;12;8;12;4;11;9;7;8;9;7;7;12;51.3;51.3;51.3;24327;224;224;1;163;0;208.07;41.1;51.3;23.2;49.1;48.7;44.6;48.7;48.7;38.4;43.8;51.3;385500000;13484000;45639000;2144600;72380000;17402000;5050000;16949000;27526000;9810700;24693000;150420000
P55735;P55735;10;10;10;Protein SEC13 homolog;SEC13;>sp|P55735|SEC13_HUMAN Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=1 SV=3;1;10;10;10;6;6;2;8;4;7;5;5;6;3;6;6;6;2;8;4;7;5;5;6;3;6;6;6;2;8;4;7;5;5;6;3;6;59.6;59.6;59.6;35.54;322;322;1;90;0;106.68;33.9;31.4;10.6;43.2;18.6;36.6;31.7;23.3;37;17.1;26.7;128180000;11295000;9122700;0;32007000;3109500;11775000;8393000;16166000;8364200;15757000;12187000
P55769;P55769;8;8;8;"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed";NHP2L1;>sp|P55769|NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=1 SV=3;1;8;8;8;5;3;3;3;3;4;2;6;6;3;2;5;3;3;3;3;4;2;6;6;3;2;5;3;3;3;3;4;2;6;6;3;2;51.6;51.6;51.6;14173;128;128;1;65;0;55523;40.6;31.2;25;19.5;25;24.2;18.8;46.9;37.5;19.5;18.8;187290000;22770000;17404000;1536700;35645000;8450100;8843000;6915800;35140000;7937200;26158000;16491000
P55774;P55774;2;2;2;"C-C motif chemokine 18;CCL18(1-68);CCL18(3-69);CCL18(4-69)";CCL18;>sp|P55774|CCL18_HUMAN C-C motif chemokine 18 OS=Homo sapiens GN=CCL18 PE=1 SV=1;1;2;2;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;25.8;25.8;25.8;9.8487;89;89;1;4;0.0024626;2.6451;0;0;0;0;0;25.8;0;24.7;0;0;0;2380300;0;0;0;0;0;2033500;0;346860;0;0;0
"P55786;A6NEC2";P55786;"37;14";"37;14";"37;14";Puromycin-sensitive aminopeptidase;NPEPPS;>sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2;2;37;37;37;21;23;10;12;20;19;17;27;21;18;19;21;23;10;12;20;19;17;27;21;18;19;21;23;10;12;20;19;17;27;21;18;19;45.2;45.2;45.2;103.28;919;"919;478";1;292;0;203.2;30.4;29.5;12.6;16.8;23.6;28;21.9;32.5;26.6;23.3;22.2;432880000;49968000;45957000;3207200;37723000;18884000;21727000;23487000;82196000;17492000;82336000;49904000
P55789;P55789;1;1;1;FAD-linked sulfhydryl oxidase ALR;GFER;>sp|P55789|ALR_HUMAN FAD-linked sulfhydryl oxidase ALR OS=Homo sapiens GN=GFER PE=1 SV=2;1;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;12.2;12.2;12.2;23449;205;205;1;4;0;7.0096;0;0;0;0;12.2;12.2;0;0;0;12.2;12.2;688200;0;0;0;0;128390;86307;0;0;0;375660;97840
P55795;P55795;12;7;7;"Heterogeneous nuclear ribonucleoprotein H2;Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed";HNRNPH2;>sp|P55795|HNRH2_HUMAN Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1;1;12;7;7;10;10;3;10;7;8;9;9;10;7;4;6;6;0;6;3;4;5;4;6;4;1;6;6;0;6;3;4;5;4;6;4;1;38.3;24.1;24.1;49263;449;449;1;68;0;85885;32.3;34.7;9.6;33.6;22.7;26.3;29.4;28.5;32.3;24.1;12;120540000;11210000;23843000;0;26797000;1131600;7200700;9478000;13870000;19437000;6993300;583860
"P55809;Q9BYC2";P55809;"17;1";"17;1";"16;1";Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial;OXCT1;>sp|P55809|SCOT1_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens GN=OXCT1 PE=1 SV=1;2;17;17;16;7;5;1;7;11;3;6;7;8;7;5;7;5;1;7;11;3;6;7;8;7;5;7;5;1;7;11;3;6;6;8;7;5;40.6;40.6;39.2;56157;520;"520;517";1;91;0;96238;23.7;15.8;4;22.1;28.5;11.3;16.9;18.8;22.1;21.7;14.6;114420000;13719000;6780300;59443;21897000;6509300;896510;5584500;11670000;6148500;32634000;8518900
P55884;P55884;29;29;29;Eukaryotic translation initiation factor 3 subunit B;EIF3B;>sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3;1;29;29;29;17;21;7;23;13;7;13;24;17;12;14;17;21;7;23;13;7;13;24;17;12;14;17;21;7;23;13;7;13;24;17;12;14;41.8;41.8;41.8;92.48;814;814;1;228;0;149.05;24.2;29;11.7;31.6;16.1;12;19.7;33;25.6;17.1;18.9;371860000;22070000;55973000;3087700;102620000;7265800;4161000;15081000;81518000;23884000;30841000;25357000
P55957;P55957;8;8;8;"BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11";BID;>sp|P55957|BID_HUMAN BH3-interacting domain death agonist OS=Homo sapiens GN=BID PE=1 SV=1;1;8;8;8;2;4;1;1;2;3;3;4;3;1;2;2;4;1;1;2;3;3;4;3;1;2;2;4;1;1;2;3;3;4;3;1;2;54.4;54.4;54.4;21994;195;195;1;33;0;28851;22.1;26.2;7.7;7.7;14.4;21.5;20.5;26.2;18.5;7.7;15.4;29082000;1425700;7829300;449870;380170;270270;2188600;1941300;8566600;4089400;635130;1305800
P56134;P56134;5;5;5;ATP synthase subunit f, mitochondrial;ATP5J2;>sp|P56134|ATPK_HUMAN ATP synthase subunit f, mitochondrial OS=Homo sapiens GN=ATP5J2 PE=1 SV=3;1;5;5;5;4;4;2;3;4;3;4;4;3;2;3;4;4;2;3;4;3;4;4;3;2;3;4;4;2;3;4;3;4;4;3;2;3;42.6;42.6;42.6;10918;94;94;1;64;0;27719;41.5;41.5;25.5;27.7;41.5;42.6;41.5;41.5;27.7;25.5;29.8;297950000;35275000;77952000;2734400;34136000;9778800;11836000;34560000;37416000;25453000;20765000;8043200
P56181;P56181;1;1;1;NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial;NDUFV3;>sp|P56181|NDUV3_HUMAN NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Homo sapiens GN=NDUFV3 PE=1 SV=2;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;14.8;14.8;14.8;11.94;108;108;1;2;0.0031734;2.4533;0;0;0;0;0;0;0;14.8;0;0;14.8;2287700;0;0;0;0;0;0;0;1105400;0;0;1182300
P56182;P56182;5;5;5;Ribosomal RNA processing protein 1 homolog A;RRP1;>sp|P56182|RRP1_HUMAN Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens GN=RRP1 PE=1 SV=1;1;5;5;5;4;1;0;2;2;1;0;2;2;2;2;4;1;0;2;2;1;0;2;2;2;2;4;1;0;2;2;1;0;2;2;2;2;11.7;11.7;11.7;52839;461;461;1;19;0;33003;8.7;2.8;0;6.7;6.7;2;0;4.8;6.7;6.7;5.9;13518000;1989700;968760;0;2922700;694970;51150;0;2143300;354130;3133400;1260200
P56192;P56192;31;31;31;Methionine--tRNA ligase, cytoplasmic;MARS;>sp|P56192|SYMC_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2;1;31;31;31;11;18;8;22;11;14;9;22;9;9;12;11;18;8;22;11;14;9;22;9;9;12;11;18;8;22;11;14;9;22;9;9;12;43.3;43.3;43.3;101.11;900;900;1;175;0;234.47;17.1;28.6;13.1;35;17.4;23.3;15.7;32.9;15.2;14.2;18;370920000;27133000;42793000;2876900;116930000;6821000;12184000;9439000;61529000;7419200;48520000;35273000
P56199;P56199;9;9;9;Integrin alpha-1;ITGA1;>sp|P56199|ITA1_HUMAN Integrin alpha-1 OS=Homo sapiens GN=ITGA1 PE=1 SV=2;1;9;9;9;1;2;0;3;3;1;6;1;6;2;2;1;2;0;3;3;1;6;1;6;2;2;1;2;0;3;3;1;6;1;6;2;2;8.8;8.8;8.8;130.85;1179;1179;1;28;0;22219;1.1;1.4;0;3.7;2.5;0.8;6.4;1.1;6.3;1.9;1.9;16336000;240570;424200;0;9112500;374300;138060;2830800;262790;1094700;1214700;643620
P56279;P56279;1;1;1;T-cell leukemia/lymphoma protein 1A;TCL1A;>sp|P56279|TCL1A_HUMAN T-cell leukemia/lymphoma protein 1A OS=Homo sapiens GN=TCL1A PE=1 SV=1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;14;14;14;13459;114;114;1;1;0.0011926;3.2357;0;0;0;0;0;0;14;0;0;0;0;313970;0;0;0;0;0;0;313970;0;0;0;0
P56377;P56377;3;2;2;AP-1 complex subunit sigma-2;AP1S2;>sp|P56377|AP1S2_HUMAN AP-1 complex subunit sigma-2 OS=Homo sapiens GN=AP1S2 PE=1 SV=1;1;3;2;2;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;21;15.9;15.9;18615;157;157;1;2;0.0022927;2.7763;5.7;0;0;0;0;10.2;5.1;0;5.1;0;0;697150;611440;0;0;0;0;85713;0;0;0;0;0
P56378;P56378;1;1;1;6.8 kDa mitochondrial proteolipid;MP68;>sp|P56378|68MP_HUMAN 6.8 kDa mitochondrial proteolipid OS=Homo sapiens GN=MP68 PE=1 SV=1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;12.1;12.1;12.1;6662;58;58;1;13;1;-2;12.1;12.1;0;12.1;12.1;12.1;12.1;0;12.1;0;12.1;22707000;2618100;5467600;0;5362900;1643500;429630;3259300;0;2474200;0;1452000
"Q5VTU8;P56381";"Q5VTU8;P56381";"3;3";"3;3";"3;3";"ATP synthase subunit epsilon-like protein, mitochondrial;ATP synthase subunit epsilon, mitochondrial";"ATP5EP2;ATP5E";">sp|Q5VTU8|AT5EL_HUMAN ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens GN=ATP5EP2 PE=3 SV=1;>sp|P56381|ATP5E_HUMAN ATP synthase subunit epsilon, mitochondrial OS=Homo sapiens GN=ATP5E PE=1 SV=2";2;3;3;3;3;1;0;1;2;1;2;2;0;2;2;3;1;0;1;2;1;2;2;0;2;2;3;1;0;1;2;1;2;2;0;2;2;45.1;45.1;45.1;5.8068;51;"51;51";1;17;0.00082085;3.5967;45.1;13.7;0;13.7;29.4;13.7;29.4;29.4;0;29.4;29.4;53319000;3959300;10572000;0;4313200;6606600;1259700;9706000;8856500;0;1870400;6175700
P56385;P56385;6;6;6;ATP synthase subunit e, mitochondrial;ATP5I;>sp|P56385|ATP5I_HUMAN ATP synthase subunit e, mitochondrial OS=Homo sapiens GN=ATP5I PE=1 SV=2;1;6;6;6;4;4;3;2;4;3;4;3;3;1;3;4;4;3;2;4;3;4;3;3;1;3;4;4;3;2;4;3;4;3;3;1;3;66.7;66.7;66.7;7.9331;69;69;1;53;0;17309;52.2;47.8;50.7;36.2;60.9;34.8;47.8;46.4;50.7;15.9;46.4;88996000;9336800;8891600;1462600;13583000;5911800;1872900;9254100;18882000;8338300;6853700;4609100
P56470;P56470;16;16;16;Galectin-4;LGALS4;>sp|P56470|LEG4_HUMAN Galectin-4 OS=Homo sapiens GN=LGALS4 PE=1 SV=1;1;16;16;16;8;13;0;14;9;10;14;11;7;9;10;8;13;0;14;9;10;14;11;7;9;10;8;13;0;14;9;10;14;11;7;9;10;44.9;44.9;44.9;35941;323;323;1;316;0;150.34;28.5;41.5;0;39.9;30.3;32.2;42.1;34.7;26.3;30.3;32.2;3619000000;37010000;417260000;0;1111300000;84176000;91293000;779890000;229720000;88627000;255390000;524380000
P56537;P56537;8;8;8;Eukaryotic translation initiation factor 6;EIF6;>sp|P56537|IF6_HUMAN Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1;1;8;8;8;4;7;0;7;4;3;5;8;7;5;5;4;7;0;7;4;3;5;8;7;5;5;4;7;0;7;4;3;5;8;7;5;5;56.7;56.7;56.7;26599;245;245;1;76;0;66831;25.3;49.4;0;52.2;24.1;25.7;39.2;56.7;51;29.8;31.4;205660000;18486000;14520000;0;80055000;3769800;7955700;4095500;22806000;5804400;39897000;8274200
P56545;P56545;13;13;9;C-terminal-binding protein 2;CTBP2;>sp|P56545|CTBP2_HUMAN C-terminal-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1;1;13;13;9;7;8;3;5;6;1;3;9;10;2;4;7;8;3;5;6;1;3;9;10;2;4;5;5;1;3;5;0;2;5;7;1;3;31.9;31.9;24.3;48944;445;445;1;86;0;51689;19.1;20.9;7.9;12.8;17.5;2;10.6;22.5;24.5;6.5;13;82536000;8492900;13167000;680020;15269000;3233300;526970;1890300;20026000;6319400;9181700;3748400
P56556;P56556;5;5;5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6;NDUFA6;>sp|P56556|NDUA6_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens GN=NDUFA6 PE=1 SV=3;1;5;5;5;2;4;1;4;2;3;2;4;2;1;3;2;4;1;4;2;3;2;4;2;1;3;2;4;1;4;2;3;2;4;2;1;3;39.6;39.6;39.6;17871;154;154;1;33;0;7.1308;15.6;29.2;5.2;33.1;13.6;22.7;17.5;29.2;15.6;10.4;22.7;39902000;2363000;6923900;253470;11382000;1543700;591910;3367800;6035200;3272200;1135500;3033900
P56589;P56589;2;2;2;Peroxisomal biogenesis factor 3;PEX3;>sp|P56589|PEX3_HUMAN Peroxisomal biogenesis factor 3 OS=Homo sapiens GN=PEX3 PE=1 SV=1;1;2;2;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.2;7.2;7.2;42139;373;373;1;2;0;45176;0;0;0;2.7;0;0;0;4.6;0;0;0;873280;0;0;0;629510;0;0;0;243770;0;0;0
P56749;P56749;1;1;1;Claudin-12;CLDN12;>sp|P56749|CLD12_HUMAN Claudin-12 OS=Homo sapiens GN=CLDN12 PE=1 SV=1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6.1;6.1;6.1;27.11;244;244;1;1;0.0013878;3206;0;0;0;0;6.1;0;0;0;0;0;0;158760;0;0;0;0;158760;0;0;0;0;0;0
P56856;P56856;4;4;4;Claudin-18;CLDN18;>sp|P56856|CLD18_HUMAN Claudin-18 OS=Homo sapiens GN=CLDN18 PE=2 SV=1;1;4;4;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;13.4;13.4;13.4;27856;261;261;1;5;0;5.9778;0;0;0;0;13.4;0;0;0;0;0;0;1515400;0;0;0;0;1515400;0;0;0;0;0;0
P56937;P56937;4;4;4;3-keto-steroid reductase;HSD17B7;>sp|P56937|DHB7_HUMAN 3-keto-steroid reductase OS=Homo sapiens GN=HSD17B7 PE=1 SV=1;1;4;4;4;0;1;0;2;0;1;1;1;1;0;1;0;1;0;2;0;1;1;1;1;0;1;0;1;0;2;0;1;1;1;1;0;1;15.2;15.2;15.2;38206;341;341;1;8;0;7.5624;0;2.9;0;9.1;0;2.6;6.2;2.9;3.5;0;2.9;4213400;0;201700;0;2012700;0;0;263220;422150;830530;0;483050
P56945;P56945;2;2;2;Breast cancer anti-estrogen resistance protein 1;BCAR1;>sp|P56945|BCAR1_HUMAN Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2;1;2;2;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;3;3;3;93371;870;870;1;2;0;5.5682;0;1.1;0;0;0;0;0;0;0;1.8;0;745350;0;77513;0;0;0;0;0;0;0;667830;0
P56962;P56962;1;1;1;Syntaxin-17;STX17;>sp|P56962|STX17_HUMAN Syntaxin-17 OS=Homo sapiens GN=STX17 PE=1 SV=2;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;6.3;6.3;6.3;33403;302;302;1;3;0.00099701;3.2771;6.3;0;0;6.3;0;0;6.3;0;0;0;0;1919900;407240;0;0;1236300;0;0;276310;0;0;0;0
P57053;P57053;16;3;1;Histone H2B type F-S;H2BFS;>sp|P57053|H2BFS_HUMAN Histone H2B type F-S OS=Homo sapiens GN=H2BFS PE=1 SV=2;1;16;3;1;9;10;9;11;8;14;9;11;7;10;8;1;2;1;1;0;2;2;2;0;0;1;1;1;0;1;0;0;1;1;0;0;0;81.7;21.4;5.6;13944;126;126;1;24;0.0010028;3.3474;54.8;67.5;52.4;61.1;43.7;76.2;57.9;72.2;49.2;58.7;52.4;26141000;116280;11562000;33095;322680;0;391620;258310;12809000;0;0;647120
P57088;P57088;9;9;9;Transmembrane protein 33;TMEM33;>sp|P57088|TMM33_HUMAN Transmembrane protein 33 OS=Homo sapiens GN=TMEM33 PE=1 SV=2;1;9;9;9;7;4;1;7;6;1;2;5;4;3;2;7;4;1;7;6;1;2;5;4;3;2;7;4;1;7;6;1;2;5;4;3;2;35.6;35.6;35.6;27978;247;247;1;58;0;62122;30;16.2;4.9;28.3;23.1;4.9;7.7;23.1;16.2;13.4;8.1;80008000;12409000;6427200;410810;29900000;4589300;90201;846690;6441400;4185900;8600500;6107000
P57105;P57105;4;4;4;Synaptojanin-2-binding protein;SYNJ2BP;>sp|P57105|SYJ2B_HUMAN Synaptojanin-2-binding protein OS=Homo sapiens GN=SYNJ2BP PE=1 SV=2;1;4;4;4;1;2;1;2;3;1;2;2;4;2;2;1;2;1;2;3;1;2;2;4;2;2;1;2;1;2;3;1;2;2;4;2;2;43.4;43.4;43.4;15928;145;145;1;26;0;41625;9.7;17.9;8.3;17.9;24.1;9.7;17.9;17.9;43.4;29;15.9;18583000;972960;2318900;93167;3410500;1300300;221930;1140000;2708900;1117700;3895300;1403600
P57678;P57678;9;9;8;Gem-associated protein 4;GEMIN4;>sp|P57678|GEMI4_HUMAN Gem-associated protein 4 OS=Homo sapiens GN=GEMIN4 PE=1 SV=2;1;9;9;8;2;2;1;5;1;1;1;5;1;2;2;2;2;1;5;1;1;1;5;1;2;2;1;1;0;4;0;0;0;4;0;1;1;11.2;11.2;10.5;120.04;1058;1058;1;34;0;19709;1.9;2.3;0.7;6.2;0.7;0.7;0.7;5.1;0.7;2.1;1.4;66936000;3138200;12821000;948490;8513200;4649700;754660;693600;13905000;3759400;4304200;13448000
